,id,title,detail,url
0,1,ソフトバンク社長、「１円スマホ」見直しを明言（産経新聞） - Yahoo!ニュース,"ソフトバンクの宮川潤一社長は４日の決算会見で、スマートフォンが極端に値引きされて１円などで販売されている「１円スマホ」の問題について、「社会現象としては良くないと思っているので是正させていただく」と明言した。今後、ほかの携帯大手とも調整した上で、端末の販売価格に下限を設定することなどに前向きな姿勢を示した。

【イラストで見る】深刻化するスマホの転売問題「お一人様一台限り」ルールについて

宮川氏は１円スマホについて「携帯各社が少しでも多くの人に契約してもらおうということで端末を安くしようとした結果」と指摘。その上で「１社単体で（見直しを）やるのは難しいので社会的に（端末価格の）下限値をもうけることになれば追従したい」と述べた。

端末の値引きをめぐっては、ＮＴＴドコモの井伊基之社長も「新品が中古より安くなる販売の仕方を公正取引委員会などが主導して制限する仕組みを作る必要がある」と発言している。公取委は８月から１円スマホの独占禁止法上の問題点などを調査しており、調査結果報告をもとに、各社で販売方法の見直しに向けた調整が進むとみられる。

一方、携帯各社の通信障害の多発を受けた対策について、宮川氏は、１社が通信障害になった場合に別の１社に切り替えることができる、２社が連携してＳＩＭカードを提供する「デュアルＳＩＭ」に前向きな姿勢を強調。「ＫＤＤＩの高橋（誠）社長からも直接お声をいただき、現場で（デュアルＳＩＭ提供に向けて）議論をしている。できるだけ早急に出せないかと考えている」と述べた。

ソフトバンクが４日発表した令和４年９月中間連結決算は、最終利益が前年同期比２２・８％減の２３７１億円だった。携帯電話料金を値下げした影響が続いたことなどが利益を押し下げた。売上高は子会社のＬＩＮＥ（ライン）やヤフーの事業拡大などにより、３・１％増の２兆８０８５億円だった。５年３月期は１０月にスマートフォン決済のＰａｙＰａｙを子会社化した効果を織り込み、最終利益の予想を１００億円引き上げ５４００億円とした。",https://news.yahoo.co.jp/articles/5604e6903d6e92bd97bb954868e1b5d6aab00650
1,2,「極道幹部を超高温サウナで倒して組長に昇格」中国のスマホゲームがおバカな動画CMを大量出稿する理由（プレジデントオンライン） - Yahoo!ニュース,"主人公が急に美女にモテたり、お金持ちになったりするストーリーの中国のスマホゲームの広告をネット上で観たことはないだろうか。中国のコンテンツビジネスに詳しい峰岸宏行さんは「こうした広告は中国の地方都市向けに作られている。多額のギャラでタレントを雇用できる開発会社が採る宣伝手法で、日本でも一定の効果があるようだ」という――。

【写真】洗脳広告の代表例としてあげられる「征途」。2019年には映画化もされている。

■中国スマホゲーム広告によく採用される「俺最強」要素

　若い美女を助けたら1億円もらって起業。事業に成功して、自分を振った女を見返す――。そんな怪しい日本語の広告をSNS上で見かけたことはないだろうか。そのほとんどは中国製アプリゲームの広告だ。

　もっとも有名なのは、「マフィア・シティ‐極道風雲」(Yotta Games)だろう。サウナに入る極道幹部にぞんざいな扱いを受けて怒った部下がサウナの温度を上げて幹部を倒し、自らが幹部になる様子を描いた動画だ。

　マフィア・シティは日本では主にヤフーで広告を打っており、中国製ゲームの中では「ヤフー広告の王」と呼んでも差し支えない。私の知る限りでは少なくとも数十もの異なる映像広告や静止画広告が出稿されている。それらの多くは、キャラクターが一気に貧乏人から大金持ちとなって地位が上がったり、急に美女にモテたりするといった内容である。

　筆者はこういった広告をその特徴から「俺最強系広告」と呼んでいる。

　不思議なことに、広告を見て実際にダウンロードしてみると、ゲーム内でそういった場面はほとんどなく(ゲームによっては全くないことも)、ゲームシステムは使いまわしであることも多い。中国ではこれを「換皮」(皮を換えた)と呼ぶ。

　マフィア・シティのほか「魔剣伝説」「アイアム皇帝」「おねがい社長！」といったゲームが、同様の広告戦略を採っているのを確認している。

　なぜ中国のスマホゲーム会社は似たような広告戦略を取るのだろうか。",https://news.yahoo.co.jp/articles/a07a894e68797d5e4f15cd0085eeecbe002b41a8
2,3,【独自】”紙カルテを使って”一部の手術再開　初日は帝王切開・がん計5件　夕方には大阪・吉村知事が訪問　サイバー攻撃で診療救急が停止の『大阪急性期・総合医療センター』（MBSニュース） - Yahoo!ニュース,"　「大阪急性期・総合医療センター（大阪・住吉区）」で、31日からサイバー攻撃を受け電子カルテシステムに障害が発生し通常診療を停止している問題で、センターは11月4日午前9時の業務開始から、一部の手術を再開しました。

【写真を見る】「処方せんも全部手書き　先生が大変そう」一部手術再開の病院内の様子

　具体的には、本来の日程で予定が組まれていた手術のうち①患者情報が確保されている②安全性が担保されている③この状況での手術に患者が納得しているなどの条件を踏まえて、医師が判断していくということです。

　また、システムに障害が発生しているため「紙のカルテ」を使用するということです。

　一方、原因の究明とシステムの復旧に努めているものの、現時点で復旧のめどは立っておらず、引き続き外来診療と救急の受け入れについては、一時停止の状態が続くということです。

　「大阪急性期・総合医療センター」では31日午前に電子カルテシステムに『システム障害』が発生し、外来診療に加えて、予定手術や新規での救急患者の受け入れを停止するなど、通常診療ができない状態となっていました。",https://news.yahoo.co.jp/articles/9f9dadd9cb3ea354c4d7ca44c2e755efefb9d6ed
3,4,米アマゾン、採用を数カ月凍結　利上げ継続で景気後退に懸念（共同通信） - Yahoo!ニュース,"　【ニューヨーク共同】米アマゾン・コムは3日、従業員の採用を数カ月間凍結すると明らかにした。既に主力であるインターネット通販などの小売分野で採用活動を停止しており、雇用調整対象を他分野にも広げる。「普通でない経済環境に直面している」と、米連邦準備制度理事会（FRB）の利上げ継続による景気後退に懸念を示した。

アマゾン・コムなど4社が減益　アップルは前年同期比で増益を確保",https://news.yahoo.co.jp/articles/75b1c9852748523022031feef0564fdf15f82443
4,5,「脱いだ靴、並べ直さないで」救急隊員からの切実なお願いに驚きの声　「知らなかった」「覚えておきます」（まいどなニュース） - Yahoo!ニュース,"　関西圏の消防本部で救助隊員として勤務する「えるいー@LE装備」さん（@erui_LE）が自身のツイッターアカウントで投稿した内容が注目を集めています。

【写真】「知らなかった」の声続々…話題となった実際の投稿

　「救急車に乗ることもある消防隊員です　一般のお宅に救急出動した際、玄関で救急隊員が脱いだ靴を家族の方が綺麗に並べ直してくれる事があるのですが、そのままにしておいて下さい　ターポリン担架で運び出しやすい向きで置いていますし、サイズの違う靴の履き間違えも起きる可能性があります」（ツイッター投稿より引用）

　投稿を読んだツイッターユーザーからは「知らなかった」「覚えておきます」「靴の脱ぎ方までコツがあるとは！」「出るときのことを考えて脱いでいるんですね」「向きに意味があったんですね」「靴には触らないでおきます」「小さな善意や気配りがかえって迷惑になることもあるんですね」など驚きの声が寄せられています。

■きれいに並べ直されることは「10件に1回ぐらい」

　救急隊員の靴は、手を使わず履けて、長時間屈んで作業ができる救急隊仕様の安全靴です。いくつかのメーカーから販売されていますが、黒色という共通点があります。そのため、一般家庭の玄関で脱ぐと、同じ形と色の靴が並ぶことになります。

　投稿者さんは10年近く消防の仕事に携わっており、現在の業務内容は「救助隊員を主な業務として行っており、日によって消防隊や救急隊として勤務することがあります」。

　これまでの経験上、玄関で脱いだ靴が並べ直されていた頻度は「（出動回数）10件に1回ぐらいのイメージでしょうか」。

　「（傷病者を）運びながら手を使わずに玄関で靴を履くのですが、靴が並べられていると、足をひねって履かなければならない、（間違えて自分以外の）サイズの違う靴を履くことで転倒の危険が生じる、狭い玄関だと靴の履きかえが難しいーーなどの弊害があります。自分の場合は、夜間でも靴の履き間違えがないように、靴の甲や踵に蓄光テープを貼ってわかりやすくしています」

　隊員の靴をきれいに並べ直す家庭には一定の条件があるそうで、（1）複数人の家族がいる（2）本人、家族とも冷静である（3）玄関や宅内が整理・清掃されている（4）本人、家族ともに横柄ではない、むしろ積極的に協力してくれる（5）生命の危機に関わる事態ではなく、落ち着いた状況であるーーという条件がそろったときが多いといいます。

■親切心のつもりが…タイムロスが生じることも

　投稿の中でもう一つ目を引いたのが「（脱いだ靴は）ターポリン担架で運び出しやすい向きで置いています」。

　ターポリン担架とは、狭くて傾斜のある階段など、通常の担架が使えない場所のために柔らかい素材で作られた担架のこと。

　「ターポリン担架を使用する際は、後方・左右に1人ずつの3人でストレッチャーまで搬送します。靴を脱いで宅内に入る場合、ターポリン担架を使用して運び出す際の位置も考慮しておいています。例えば、救急隊長は頭側、隊員は右側、隊員（機関員・運転手）は左側、という感じに靴を脱いで『出る時に右側つきます』と伝えたりします」

　過去には、一刻を争う状況にもかかわらず、靴がきれいに並べ直されていたご家庭があったそうで、「生死の危機に関わる事態の場合、救急隊に加えて、消防隊が救急支援隊として出動するため、玄関付近に6～7名程度の靴が置かれるのですが、それをきれいに直されていたため、一刻も早く搬送しないといけないのにタイムロスが生じることがありました」。

■他の現役隊員も「これ切実！」

　ある消防局の担当者にも話を聞きました。隊員の脱いだ靴の扱いについては、出動事案により一概には言えないため、組織としては市民へのお願いは行っていないそう。「事案によりまちまちなため、隊員の靴の置き方も隊員個人のやり方によります」。

　別の現役消防隊員は「個人の靴が分かるように脱いでいるので、そのままにしておいてください」と、今回の投稿者さんと同じ意見でした。また、ツイッター上では同業であろう人たちから「これ切実です」「これあります」「そのままにしておいて」「履きやすく乱雑にならない向きにしてる」「出るときのことを考えてます」などの声も上がっています。

（まいどなニュース・金井 かおる）",https://news.yahoo.co.jp/articles/5e292a560a359631ae0b896564b5dfee3807b3e7
5,6,韓国ファンが大量の中傷投稿 孫と衝突したマルセイユDFに（ＡＦＰ＝時事） - Yahoo!ニュース,"【AFP＝時事】韓国のサッカーファンが、フランス・リーグ1のオリンピック・マルセイユ（Olympique de Marseille）に所属するDFシャンセル・エンベンバ（Chancel Mbemba）にインターネット上で大量の中傷投稿を行い、孫興民（Son Heung-min、ソン・フンミン）に対する謝罪を要求していることが分かった。暴言の中には人種差別的な内容のものもあった。

【写真特集】「世界最高峰の舞台」欧州CLでプレーした主なアジア人選手

　韓国代表の主将を務める孫は1日、トッテナム・ホットスパー（Tottenham Hotspur）が2-1で勝利した欧州チャンピオンズリーグ（UEFA Champions League 2022-23）のマルセイユ戦でエンベンバと衝突して左目周辺を骨折し、手術を受ける予定となっている。

　クラブは復帰時期を明らかにしていないが、24日に行われる韓国のW杯カタール大会（2022 World Cup）初戦、ウルグアイ戦までに戻ってこられるかどうかは時間との闘いとなっている。

　孫はコンゴ代表のエンベンバに肩から激しくぶつかられ、途中交代。これに怒った韓国のサポーターはエンベンバを非難し、同選手のインスタグラム（Instagram）に英語と韓国語で数千件のメッセージを残している。

　投稿には「孫に謝れ。これで彼のW杯の夢は終わった」といった典型的なメッセージから、「孫に対する敬意を欠いた行為を恥ずかしいと思わないか？」というものまであり、汚いののしりや、人種差別的な内容も見られた。

　一方でエンベンバを擁護するコメントもあり、あるユーザーは「私は韓国人です。英語は得意ではありませんが、このメッセージを伝えたいので英語で書きました。私も孫興民のけがに動揺した韓国人の一人ですが、意図的ではなかったと理解している韓国人もいます。サッカーの試合中に起き得る事故でした。あなたが悪意あるコメントに傷つかないことを願っています」とつづっていた。 【翻訳編集】 AFPBB News",https://news.yahoo.co.jp/articles/a0d75732c96538325ae29aa11238a4d1257eb358
6,7,ツイッター担当者はいないけれど…象印が好感度を爆上がりさせた「2年越しのリプライ」という神対応（プレジデントオンライン） - Yahoo!ニュース,"2010年に発売され1年で100万本を売った象印のステンレスマグ。その後も改良を続け今年発売された新色は殊更、SNSで話題に。その理由とは――。

【写真】めろうさんと象印の社員とのツイッター上のやり取り

■発売1年で100万本を販売

　昭和の時代は、「マス広告」で認知度を高めることで、長く愛され続ける商品、いわゆる「ロングセラー商品」が数多く登場しました。

　「チキンラーメン」(日清食品)や「バーモントカレー」(ハウス食品)、「カローラ」(トヨタ自動車)、「霧ヶ峰」(三菱電機)などは、その代表ではないでしょうか。

　一方、平成に入ると、SNSやマーケティング調査によって、時代の変化や消費者のナマの声をつかみ、改良を重ねることで人気を維持するブランドも登場しました。

　たとえば、「じゃがりこ」(カルビー)や「プチシリーズ」(ブルボン)、「ステップワゴン」(本田技研)など。

　象印マホービン(以下・象印)の「ステンレスマグ」シリーズもその一つでしょう。

　2010年夏の発売から、わずか1年で「1モデルだけで国内外売上100万本」という、驚異的な目標を達成しました。

　いまも愛され続ける人気の裏には、ツイッター上でもきめ細かなフォローを心がける、社員たちの「ブランド愛」があるようです。

■お化け商品が生まれた市場でさらに勝負をかける

　「私たち(生活者)が本当に欲しい商品を作りたい」

　2009年夏、「ステンレスマグ」の開発に着手した社内からは、そんな声が上がったといいます。

　当時、マグの分野では「サーモス(Thermos)」(JMY-350/500)など、業界で「お化け商品」とも呼ばれる大ヒット商品が生まれ、隆盛を極めていました。

　なぜ、ライバル商品は売れているのか。社内外でアンケート調査を行うと、評価されていたおもなポイントは、見た目の「色」や「質感」だと分かった。

　このとき、象印の社内では、「負けずに自分たちも、色や質感をとことん追究したい」との思いが高まったといいます。",https://news.yahoo.co.jp/articles/ff8fbba1f042670e5e1e9ed1fa442ac1724291e3
7,8,破産情報サイトに停止命令　個人情報保護委員会（時事通信） - Yahoo!ニュース,"　政府の個人情報保護委員会は2日、破産者の氏名、住所など個人情報を本人の同意なくインターネット上に掲載したとして、ウェブサイトの運営事業者に対し、個人情報保護法に基づく停止命令を出した。

ネット利用者情報、規制後退　事業者に配慮、保護強化へ課題―総務省

　破産者情報サイトへの停止命令は2016年の同委設置以来4例目。同委は12月14日までに停止しなければ、刑事告訴を検討するとしている。

　同委によると、サイトは情報をグーグルマップに紐付け公開。削除を求めると暗号資産の支払いを要求されるという。過去の3事例では、停止命令の発出後にサイトが閉鎖されている。　",https://news.yahoo.co.jp/articles/65585b3e2878a54d6bbec4fe208f5da47c7af939
8,9,ソフトバンク社長、「１円スマホ」見直しを明言（産経新聞） - Yahoo!ニュース,"ソフトバンクの宮川潤一社長は４日の決算会見で、スマートフォンが極端に値引きされて１円などで販売されている「１円スマホ」の問題について、「社会現象としては良くないと思っているので是正させていただく」と明言した。今後、ほかの携帯大手とも調整した上で、端末の販売価格に下限を設定することなどに前向きな姿勢を示した。

【イラストで見る】深刻化するスマホの転売問題「お一人様一台限り」ルールについて

宮川氏は１円スマホについて「携帯各社が少しでも多くの人に契約してもらおうということで端末を安くしようとした結果」と指摘。その上で「１社単体で（見直しを）やるのは難しいので社会的に（端末価格の）下限値をもうけることになれば追従したい」と述べた。

端末の値引きをめぐっては、ＮＴＴドコモの井伊基之社長も「新品が中古より安くなる販売の仕方を公正取引委員会などが主導して制限する仕組みを作る必要がある」と発言している。公取委は８月から１円スマホの独占禁止法上の問題点などを調査しており、調査結果報告をもとに、各社で販売方法の見直しに向けた調整が進むとみられる。

一方、携帯各社の通信障害の多発を受けた対策について、宮川氏は、１社が通信障害になった場合に別の１社に切り替えることができる、２社が連携してＳＩＭカードを提供する「デュアルＳＩＭ」に前向きな姿勢を強調。「ＫＤＤＩの高橋（誠）社長からも直接お声をいただき、現場で（デュアルＳＩＭ提供に向けて）議論をしている。できるだけ早急に出せないかと考えている」と述べた。

ソフトバンクが４日発表した令和４年９月中間連結決算は、最終利益が前年同期比２２・８％減の２３７１億円だった。携帯電話料金を値下げした影響が続いたことなどが利益を押し下げた。売上高は子会社のＬＩＮＥ（ライン）やヤフーの事業拡大などにより、３・１％増の２兆８０８５億円だった。５年３月期は１０月にスマートフォン決済のＰａｙＰａｙを子会社化した効果を織り込み、最終利益の予想を１００億円引き上げ５４００億円とした。",https://news.yahoo.co.jp/articles/5604e6903d6e92bd97bb954868e1b5d6aab00650
